情感倾向,评论内容
1,一场无与伦比的演奏会，一场让你终生难忘的演奏会，一场值得博得所有赞美词语的演奏会，一场让你意尤未尽、让你无比震撼无比感动的听觉盛宴。当宫崎峻为久石让献花的时候，那份感动无以言表，感谢他们带来这样能够触及心灵、扶动心弦的音乐和动画。★★★★★
1,没看过电影也足够让你泪流满面
1,每一刻他的脸上都是那么陶醉，每一曲结束都满怀着自豪和感激，与宫崎骏握手的一刻为25载合作的时光做一个小节。龙猫果然是最后一曲，"一起去散步"，"只有孩子才看得到"，这也是多少中国孩子的心曲啊。
1,接近尾声时宫崎骏向久石让献花，如果我在现场，我一定会流泪。配乐中最喜欢天空之城>龙猫>幽灵公主>风之谷>其他作品，宫的电影最喜欢红猪>风之谷>天空之城>龙猫>幽灵公主>其他作品
1,宫崎骏向久石让献花示爱！！！！！！
1,如果我在现场，我一定会流泪的
1,久石譲~宮崎と共に歩んだ25年間（久石让~与宫崎骏有目共睹的基情25年）
1,小老头很可爱呜。
1,波妞酱，做我女儿吧~
1,久石让一直很欢乐~~~还是最爱天空之城~伴随着你
1,谢谢你们
1,动画音乐可以这么演。。。
1,久石让的音乐就是我给★★★★★的理由！—— 更何况，还有宫崎骏爷爷的存在！
1,到底是在宫崎骏的动画里冒险还是在久石让的音乐里流转？发现东艺的演奏也很棒，现场听能长很多知识。原来排钟没有以为的那么大。原来那个调皮的声音就是巴松发出来的。突然阿照附身，想背乐器的单词了。
1,"爱久石让胜过宫崎骏
能有他做所有动画的配乐真的是宫崎骏的幸运
宫崎骏笑得好可爱
孩子一般
也是
否则怎么能做出那些动画"
1,多可爱的两个老头。
1,天空之城的那段太感动了TT
1,电脑坏掉，拿去修，生死未卜。周日降温刮风，放弃出行。无奈间，抱着移动硬盘去不能上网的姑姑家。不在乎你是否看得懂音乐会的乐器座次，不在乎你是否辨得清不同西洋乐器的音色，所有一切只需用心感受。看宫崎骏上前给久石让献花，超越言语的相知之情，不需我说，你已全然了解。我想，他们成就了彼此
1,大师出品，精良制作，完美配乐！最爱《天空之城》《菊次郎的夏天》与《豆豆龙》。
1,伴随着你
1,從風之谷到ポニョ宮崎駿和久石讓一起走過25載。親自指揮兼鋼琴獨奏2小時演出1千2百陣容原汁原味的視聽享受。他的音樂裏有藍天有海濤有城市有森林有山神有魔法有童謠有民樂。他的動畫每一筆都是真善美每一個人物都飽含愛。日本的就是世界的。好き大好き~~笑聲歌聲掌聲最後的獻花與握手~~淚~~
1,感动
1,@大連某咖啡屋
1,完美！
1,啊啊啊啊百看不厌
1,宫崎骏出场全场惊呼~
1,宫崎骏 久石让 至爱
1,集中看一下反派们的飞行器有多丑陋，就能理解春晚为什么那么难看了。
1,怀旧大于一切。
1,泪流满面...
1,他的作品让人感受到的是爱与希望的力量
1,《久石譲in武道馆 ～宫崎アニメと共に歩んだ25年间～》于08年8月5日在日本武道馆举行。曲目全部取材于25年来为宫崎骏动画写的配乐，并由久石让亲自上台指挥和弹奏，配以200人交响乐团和800人的合唱团，份量十足。宫老还给久石让送花来着。可惜只能在网上看视频，要是能亲临现场，打六星我也愿意。
1,一百零一分豆豆龙久石让的收尾动作萌到肝儿颤
1,太好听了，没有冷场
1,值得珍藏。
1,经典，感动。
1,假如你喜欢宫崎骏的电影，那么你就不能错过。
1,震撼的场面，动人的旋律...
1,这才是我要看的啊 握拳 泪
1,永远的久石让。http://v.youku.com/v_show/id_XMTYwNzA0MzEy.html
1,虽然不太喜欢宫崎老头子的作品吧，但久石让的配乐确实太赞了，场面也够宏大，无论是合唱团还是交响乐团，但这9.7的评分也太吓人了不至于吧。最后，隐藏在听众中的宫崎骏出现还是惊到了群众们，意外之喜。宫崎骏给久石让献花还是蛮萌的。
1,还是最爱《幽灵公主》啊。
1,给宫崎骏的经典配乐……
1,看之前以为是讲久石让和宫崎骏之间的事儿 原来是一场演唱会 晚上 呆在宿舍 把灯都关了 音量调大 超有feel！听着一首首熟悉的歌曲 险些泪奔了~ 赞一个！ 我要把这个永久存在电脑里~
1,一路伴我 
1,音乐的魅力无穷尽，每当曼妙的音乐声想起时，眼前总会浮现一些记忆的碎片。
1,要是听这么一场，得爽死了。
1,有一种视听叫做感动，有一种合作谓之伟大
1,虽然宫崎骏的动画片，我都没有看过，可是他电影里的音乐，我倒是听过的很多~~~~
1,一定要继续共同走下去呀~
1,三处地方差点飙泪，一处天空之城的合唱，一处千与千寻的《那个夏天》，还有自然就是最后宫崎骏出现时那欢呼声以及经久不息的掌声；这样的音乐有一种魔力，它直接从耳朵进入就直达了你的心，触动着它，时而欢乐，时而平静，时而感动，久久不能平静
1,真是喜欢哈尔的移动的城堡。当然金鱼姬也挺不错的。龙猫不愧是压轴的。
1,啥也不必說了，用耳朵就行了
1,√ Joe太可爱了，他的笑和音乐一样迷人。看到我眼泪一直流，从头激动到尾，宫大师的伟岸啊！编导课上看到最棒的东西！！
1,想听现场。
1,音乐大赞，总是勾起回忆，甚至感觉回到了萝莉时期，宫崎骏和久石让的合作友谊也很感动，总之听着听着就泪目了…
1,久石让与吉卜力合作的25年纪录片，带你重温过去的作品磨合过程
1,"平原绫香，完美的演绎！！纠结的是 风之甬道 为什么不能像专辑里那样演奏啊！！！！不能释怀啊！！！！这个演绎我不接受啊！！！！！
深夜里独自听的感受，无法替代，听得掉泪是什么感觉？"
1,音乐会。里面唱波妞的小孩真的好可爱
1,可爱小老头~~~
1,28分钟天空之城   太震撼了
1,那么优美的曲子，演奏起来也很享受吧，如果久石让能来国内做这种规模的演出，怎么样也得去啊
1,几度落泪
1,哭了，然後再笑了，笑著笑著又哭了
1,我真心地强推，泪流满面
1,最高境界 之一
1,Totoro的时候已经泪奔了好嘛？老爷子粗来的时候完全控制不住！恳请90桑和北野先生也搞个纪念活动啊啊啊！！！
1,不用多说了，个人最喜欢龙猫，不论是电影还是配乐
1,小萝莉很惊艳啊~><
1,一辈子爱久老爷子?
1,鸡皮疙瘩一阵阵。崇拜。好想在现场。
1,每个音符都是享受
1,简直是完美！！！
1,从风之谷 到 悬崖上的金鱼姬 再到后面的 借东西的小人阿丽埃蒂 他们从没有让人失望过
1,TUT 喜歡死了！！
1,完美的组合～
1,本以为自己看不下去的，结果……
1,非常感动！
1,每过一段时间我就拿出来复习一遍，实在太棒了
1,那些救赎灵魂的醉人音乐。。。值得用心去倾听。
1,真骄傲！
1,太壮观，太怀念，太感动！无可比拟的组合与音乐盛宴！
1,久石让的音乐与宫崎骏的动画是无法分割的~(话说，为什么没有《风之甬道》啊……)
1,差点儿哭了。
1,音乐也可以是主角！
